nodes__label,nodes__link,nodes__connection_label,nodes__connection_link
,,Pomona Sprout,Pomona_Sprout
,,Poppy Pomfrey,Poppy_Pomfrey
,,Quirinus Quirrell,Quirinus_Quirrell
,,Rabastan Lestrange,Rabastan_Lestrange
,,Reginald Cattermole,Reginald_Cattermole
,,Regulus Black,Regulus_Black
,,Remus Lupin,Remus_Lupin
,,Rita Skeeter,Rita_Skeeter
,,Rodolphus Lestrange,Rodolphus_Lestrange
,,Rolanda Hooch,Rolanda_Hooch
,,Romilda Vane,Romilda_Vane
,,Ron Weasley,Ron_Weasley
,,Rubeus Hagrid,Rubeus_Hagrid
,,Rufus Scrimgeour,Rufus_Scrimgeour
,,Salazar Slytherin,Salazar_Slytherin
,,Scabbers,Scabbers
,,Seamus Finnigan,Seamus_Finnigan
,,Septima Vector,Septima_Vector
,,Severus Snape,Severus_Snape
,,Sir Cadogan,Sir_Cadogan
,,Sirius Black,Sirius_Black
,,Stan Shunpike,Stan_Shunpike
,,Sturgis Podmore,Sturgis_Podmore
,,Susan Bones,Susan_Bones
,,Sybill Trelawney,Sybill_Trelawney
,,Ted Tonks,Ted_Tonks
,,Teddy Lupin,Teddy_Lupin
,,Terry Boot,Terry_Boot
,,Theodore Nott,Theodore_Nott
,,Tiberius Ogden,Tiberius_Ogden
,,Tom Riddle Sr.,Tom_Riddle_Sr.
,,Trevor,Trevor
,,Vernon Dursley,Vernon_Dursley
,,Viktor Krum,Viktor_Krum
,,Vincent Crabbe,Vincent_Crabbe
,,Wilhelmina GrubblyPlank,Wilhelmina_GrubblyPlank
,,Winky,Winky
,,Wormtail,Wormtail
,,Xenophilius Lovegood,Xenophilius_Lovegood
,,Zacharias Smith,Zacharias_Smith
James Potter,James_Potter_I,"Alastor ""MadEye"" Moody",Alastor_Moody
,,Albus Dumbledore,Albus_Dumbledore
,,Alice Longbottom,Alice_Longbottom
,,Argus Filch,Argus_Filch
,,Cedric Diggory,Cedric_Diggory
,,Cuthbert Binns,Cuthbert_Binns
,,Draco Malfoy,Draco_Malfoy
,,Dudley Dursley,Dudley_Dursley
,,Elphias Doge,Elphias_Doge
,,Filius Flitwick,Filius_Flitwick
,,Fred Weasley,Fred_Weasley
,,George Weasley,George_Weasley
,,Harry Potter,Harry_Potter
,,Hermione Granger,Hermione_Granger
,,Kingsley Shacklebolt,Kingsley_Shacklebolt
,,Lily Potter,Lily_Potter
,,Lord Voldemort,Lord_Voldemort
,,Madam Rosmerta,Madam_Rosmerta
,,Majorie Dursley,Marge
,,Minerva McGonagall,Minerva_McGonagall
,,Peter Pettigrew,Peter_Pettigrew
,,Petunia Dursley,Petunia_Dursley
,,Poppy Pomfrey,Poppy_Pomfrey
,,Quirinus Quirrell,Quirinus_Quirrell
,,Remus Lupin,Remus_Lupin
,,Rubeus Hagrid,Rubeus_Hagrid
,,Scabbers,Scabbers
,,Severus Snape,Severus_Snape
,,Sirius Black,Sirius_Black
,,Vernon Dursley,Vernon_Dursley
,,Wormtail,Wormtail
Lily Potter,Lily_Potter,Angelina Johnson,Angelina_Johnson
,,Arthur Weasley,Arthur_Weasley
,,Bill Weasley,Bill_Weasley
,,Charlie Weasley,Charlie_Weasley
,,Dudley Dursley,Dudley_Dursley
,,Fleur Delacour,Fleur_Delacour
,,George Weasley,George_Weasley
,,Ginny Weasley,Ginny_Weasley
,,Harry Potter,Harry_Potter
,,Hermione Granger,Hermione_Granger
,,James Potter,James_Potter_I
,,Luna Lovegood,Luna_Lovegood
,,Molly Weasley,Molly_Weasley
,,Nymphadora Tonks,Nymphadora_Tonks
,,Petunia Dursley,Petunia_Dursley
,,Remus Lupin,Remus_Lupin
,,Ron Weasley,Ron_Weasley
,,Severus Snape,Severus_Snape
,,Teddy Lupin,Teddy_Lupin
,,Vernon Dursley,Vernon_Dursley
Quirinus Quirrell,Quirinus_Quirrell,Albus Dumbledore,Albus_Dumbledore
,,Argus Filch,Argus_Filch
,,Bellatrix Lestrange,Bellatrix_Lestrange
,,Cuthbert Binns,Cuthbert_Binns
,,Dolores Umbridge,Dolores_Umbridge
,,Draco Malfoy,Draco_Malfoy
,,Fang,Fang
,,Filius Flitwick,Filius_Flitwick
,,Firenze,Firenze
,,Fluffy,Fluffy
,,Fred Weasley,Fred_Weasley
,,George Weasley,George_Weasley
,,Harry Potter,Harry_Potter
,,Hermione Granger,Hermione_Granger
,,James Potter,James_Potter_I
,,Lord Voldemort,Lord_Voldemort
,,Minerva McGonagall,Minerva_McGonagall
,,Narcissa Malfoy,Narcissa_Malfoy
,,Neville Longbottom,Neville_Longbottom
,,Nicolas Flamel,Nicolas_Flamel
,,Norbert,Norbert
,,Oliver Wood,Oliver_Wood
,,Peeves,Peeves
,,Pomona Sprout,Pomona_Sprout
,,Poppy Pomfrey,Poppy_Pomfrey
,,Rolanda Hooch,Rolanda_Hooch
,,Ron Weasley,Ron_Weasley
,,Rubeus Hagrid,Rubeus_Hagrid
,,Seamus Finnigan,Seamus_Finnigan
,,Severus Snape,Severus_Snape
Millicent Bulstrode,Millicent_Bulstrode,Albus Dumbledore,Albus_Dumbledore
,,Cedric Diggory,Cedric_Diggory
,,Dolores Umbridge,Dolores_Umbridge
,,Draco Malfoy,Draco_Malfoy
